Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
UKR,1994-01-01,1994-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,0.790000,I
UKR,1995-01-01,1995-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,4.090000,I
UKR,1996-01-01,1996-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,6.800000,I
UKR,1997-01-01,1997-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,8.030000,I
UKR,1998-01-01,1998-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,9.000000,I
UKR,1999-01-01,1999-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,11.460000,I
UKR,2000-01-01,2000-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,14.110000,I
UKR,2001-01-01,2001-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,15.520000,I
UKR,2002-01-01,2002-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,16.310000,I
UKR,2003-01-01,2003-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,19.680000,I
UKR,2004-01-01,2004-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,20.740000,I
UKR,2005-01-01,2005-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,22.520000,I
UKR,2006-01-01,2006-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,23.050000,I
UKR,2007-01-01,2007-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,31.740000,I
UKR,2008-01-01,2008-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,34.930000,I
UKR,2009-01-01,2009-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,37.230000,I
UKR,2010-01-01,2010-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,48.400000,I
UKR,2011-01-01,2011-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,54.960000,I
UKR,2012-01-01,2012-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,58.690000,I
UKR,2013-01-01,2013-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,56.910000,I
UKR,2014-01-01,2014-12-31,230,'804,Ukraine,221,'01371,"Almonds, in shell",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,70.740000,I
