typo;formal
melulu;terus menerus
debet;debit
rubah;ubah
handphone;hp
tranfer;transfer
system;sistem
god;bagus
komplen;komplain
diagoda;agoda
rekomended;direkomendasikan
rp;idr
temu;ketemu
jebak;menjebak
traveling;travel
travelling;travel
hrga;harga
hiling;healing
hilingg;healing
info;informasi
dibalikin;refund
cuma;hanya
apl;aplikasi
apk;aplikasi
app;aplikasi
application;aplikasi
apps;aplikasi
tbtb;tibatiba
chek;check
check;check
nomer;nomor
refound;refund
refundnya;refund
direfund;refund
recomended;direkomendasikan
recommended;direkomendasikan
fast;cepat
uninstal;uninstall
cc;kartu kredit
card;kartu
diaplikasi;aplikasi
user;pengguna
use;pakai
peke;pakai
cs;customer service
mesen;pesan
mesan;pesan
pesen;pesan
peseen;pesan
booking;pesan
boking;pesan
pemesanan;pesan
bookingan;pesan
mes;pesan
order;pesan
agda;agoda
pmsnan;pesan
rbet;ribet
matab;mantap
uqng;uang
mlem;malam
brta;berita
dproses;diproses
pmsan;pesan
dftar;daftar
hmpr;hampir
kluarny;keluar
rangin;kurang
bleum;belum
msen;pesan
pengalama;pengalaman
oklah;ok
oke;ok
pakee;pakai
pake;pakai
moga;semoga
respos;respons
respon;respons
response;respons
responnya;respons
appication;aplikasi
mekecewakan;kecewa
smpain;sampai
muas;puas
memuaskan;puas
service;pelayanan
services;pelayanan
servis;pelayanan
layan;pelayanan
best;bagus
good;bagus
top;bagus
ticket;tiket
simple;mudah
langgan;pengguna
call;telepon
very;sangat
banget;sangat
easy;mudah
tf;transfer
telpon;telepon
dicancel;batal
pembatalan;batal
agodanya;agoda
mantul;mantap
indomart;indomaret
alfamaret;alfamart
tuju;tujuan
instal;install
download;install
danlod;install
donlot;install
unduh;install
price;harga
payment;pembayaran
telfon;telepon
discount;diskon
alfa;alfamart
professional;profesional
simpel;mudah
vila;villa
trf;transfer
chekin;check in
mantaab;mantap
mantab;mantap
gede;besar
back;kembali
aplication;aplikasi
refun;refund
bokingan;pesan
pay;pembayaran
cekin;check in
checkin;check in
erti;properti
perhati;perhatian
account;akun
servicenya;pelayanan
notif;notifikasi
excellent;bagus
rek;rekening
cust;pengguna
hrg;harga
recommended;direkomendasikan
kesel;kesal
layang;hilang
csnya;customer service
trimakasih;terima kasih
complain;komplain
thank;terima kasih
muter;putar
property;properti
eror;error
great;bagus
jos;mantap
tibatiba;tiba tiba
book;pesan
aplikas;aplikasi
disctconnya;diskon
aplkjasinya;aplikasi
transf;transfer
rufund;refund
servis;pelayanan
promonya;promo
belah;sebelah
terimakasih;terima kasih
customer;pengguna
wa;whatsapp
kadaluarsa;kedaluwarsa
joss;mantap
tikom;tiket.com
mantaf;mantap
etiket;tiket
mntap;mantap
terang;keterangan
okey;ok
paylaternya;paylater
mantaps;mantap
fee;harga
costumer;pengguna
okee;ok
kreta;kereta
mantull;mantap
markotop;mantap
discountnya;diskon
siar;siaran
accord;sesuai
helpfull;bantu
baharu;update
bosok;busuk
disc;diskon
gandos;mantap
free;gratis
sngat;sangat
tiketcom;tiket.com
cek;check
konsumen;pengguna
treveloka;traveloka
batu;bantu
trevekoka;traveloka
payleter;paylater
paylatter;paylater
eat;eats
corona;covid
ditraveloka;traveloka
